N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.8979740385781876,0.9140755482145,0.9030387162939707,0.7547732696897375,0.6926624997011355,0.7103689704198171
Model2,500,2,1,0.8987019289093776,0.9155287326494878,0.9038381772073119,0.7738663484486874,0.6851288113798245,0.7153499154532165
Model3,500,3,1,0.8602450564115006,0.9017942240426963,0.8733914533551644,0.7750596658711217,0.562466518106852,0.643106106023486
Model4,500,1,2,0.9304864733713454,0.9333754418168468,0.9301497893876282,0.7959427207637232,0.7893130313697164,0.7838962689813468
Model5,500,2,2,0.9082858182700473,0.9268283157592461,0.9129956911410346,0.8186157517899761,0.7087426703722106,0.7439411063766467
Model6,500,3,2,0.9268470217153949,0.9248792859667607,0.9238299463303237,0.7267303102625299,0.8142961598097286,0.7611382994499981
Model7,800,1,2,0.9252699259978163,0.9309390103213675,0.9261608762386804,0.7869928400954654,0.7678718399759318,0.7680190919045039
Model8,800,2,2,0.9136236806987748,0.9238051929139357,0.9157775478558775,0.7971360381861575,0.7148674496229838,0.7427211565775952
Model9,800,3,2,0.9149581463059566,0.9230542803694926,0.9167638288338131,0.7846062052505967,0.7304525899845249,0.7470875573776875
